project,regime,algorithm,workers,reps,median_s,mean_s,std_s,run_cv,planned_s,planned_to_exec_ratio,overhead_us,overhead_share_pct,native_s,seq_s,vs_rr_pct,vs_qty_pct,vs_lpt_pct,vs_native_pct,exec_success_count,exec_error_count,result_dir
goreleaser,cold,Quantity,8,5,422.098245892,422.54158604,2.944767527,0.006969178003514269,40.2565,0.09537234611086305,7.77,1.8408036696717444e-06,112.982282705,735.139927191,-0.374131450298357,0.0,-2.8244569561536803,-273.5968470331855,5,0,20260705-230606
goreleaser,cold,Round-Robin,8,5,420.524929873,419.343496401,3.946251957,0.009410547655725106,34.686,0.0824826247767886,6.9,1.6408064088100136e-06,112.982282705,735.139927191,0.0,0.3727369242379082,-2.441192237930981,-272.2043136365042,5,0,20260705-230606
goreleaser,warm,FFD-Multifit,2,5,116.362591174,114.541073006,2.835067624,0.0247515371525417,41.551999999,0.35709070741529136,207.71,0.0001785023845759896,96.171798345,189.699667816,-15.11793358948314,-5.260312307712237,-38.94954374990996,-20.994504809579375,5,0,20260707-140842
goreleaser,warm,LPT,2,5,83.744493169,83.50033536,0.508613726,0.006091157883464577,41.553499998,0.49619382034044013,37.9,4.525670711686817e-05,96.171798345,189.699667816,17.151269099033843,24.245658195779107,0.0,12.921984812449027,5,0,20260707-140842
goreleaser,warm,Quantity,2,5,110.547450053,111.871818162,2.825109631,0.025253094813467665,70.288499998,0.6358219928573787,11.3,1.0221854954214156e-05,96.171798345,189.699667816,-9.364993382267073,0.0,-32.005635080876885,-14.94788696414909,5,0,20260707-140842
goreleaser,warm,Round-Robin,2,5,101.08120216,99.282581418,2.977384151,0.02998898808306165,59.656999999,0.5901888652310424,9.931,9.824774327753207e-06,96.171798345,189.699667816,0.0,8.563063090520476,-20.701909265859168,-5.104826882188843,5,0,20260707-140842
goreleaser,warm,FFD-Multifit,4,5,88.946687736,88.787178759,0.305424532,0.0034399621236871473,34.211,0.3846236534579078,200.56,0.00022548338235514303,48.927685961,189.699667816,-21.97416788274951,-27.595106590257057,-48.679076807713365,-81.79214076647511,5,0,20260707-140842
goreleaser,warm,LPT,4,5,59.824616648,59.593193809,0.521124467,0.008744697736292457,34.211,0.571854897145316,35.531,5.939193928990741e-05,48.927685961,189.699667816,17.96144386846127,14.180858981741059,0.0,-22.271502264966887,5,0,20260707-140842
goreleaser,warm,Quantity,4,5,69.710108885,70.837029947,1.480695736,0.020902848935194642,47.799,0.6856824751034816,13.61,1.9523710718128798e-05,48.927685961,189.699667816,4.405293320188154,0.0,-16.5241213247799,-42.475793644861014,5,0,20260707-140842
goreleaser,warm,Round-Robin,4,5,72.922561621,74.322902127,2.062296627,0.02774779466329275,55.3195,0.758606098994598,8.53,1.169734004180067e-05,48.927685961,189.699667816,0.0,-4.608302565270055,-21.89390539694812,-49.041509298286016,5,0,20260707-140842
